BRNKULMI1,První patro,,nah,https://patrobrno.cz/,Brno,Brno,49.1926343823726,16.605969914442213,Šilingrovo nám.,7,+420 732 565 202
BRNKULMI2,Galerie ARS,,nah,https://www.artmap.cz/galerie-ars/,Brno,Brno,49.19633655469105,16.605552031283636,Veselá,238/39,542218291
BRNKULMI3,Arnoldova vila,,nah,https://www.muzeumbrna.cz/arnoldova-vila/t1515,Brno,Brno,49.207149291772595,16.614430405718092,Drobného,299/26,+420 515 511 070
BRNKULMI4,ArtBar Druhý Pád,,nah,https://www.druhypad.cz,Brno,Brno,49.207925314607266,16.6037839808273,Štefánikova,836/1,606126866
BRNKULMI5,Art Gallery Brno,,nah,https://www.artgallerybrno.cz/,Brno,Brno,49.19927276145007,16.602979242837836,Veveří ,455/8,+ 420 722 988 700
BRNKULMI6,Artikle,,nah,https://www.artikle.cz,Brno,Brno,49.184271350854466,16.62654869799764,Masná,27/9,739675050
BRNKULMI7,Art klub u tří knížat,,nah,https://www.artklub.cz,Brno,Brno,49.19429847847025,16.610433549177614,Jánská,449/12,602968337
BRNKULMI8,Besední dům,,ano,https://www.filharmonie-brno.cz,Brno,Brno,49.19621496421492,16.604147896580415,Komenského náměstí,534/8,539092801
BRNKULMI9,Biskupský dvůr,,částečně,,Brno,Brno,49.19158685115641,16.608892243760867,Muzejní,298/1,533435282
BRNKULMI10,Botanické oddělení,,nah,https://www.mzm.cz/botanicke-oddeleni/,Brno,Brno,49.18304685500757,16.678192624479948,Hviezdoslavova,1183/29,515910452
BRNKULMI11,Brain Farm,,nah,http://www.coworkingbrno.cz/,Brno,Brno,49.19678920692899,16.609453549776283,Jezuitská,6/1,608828666
BRNKULMI12,Branta Workspace,,nah,https://www.branta.cz/,Brno,Brno,49.19826999030455,16.61934131280453,Cejl,509/41,604868249
BRNKULMI13,Brusinka - Multikulturní centrum,,nah,https://www.brusinkabrno.cz/,Brno,Brno,49.20404279138738,16.5947436939205,Konečného nám.,1019/2a,+420 728 787 727
BRNKULMI14,BVV,dočasně zavřeno kvůli rekonstrukci Janáčkova divadla,nah,https://www.ndbrno.cz,Brno,Brno,49.18769856014797,16.582248761777965,Výstaviště,405/1,542158111
BRNKULMI15,Bývalá Káznice na Cejlu,"Rozsáhlá, původně čtyřkřídlá stavba je už dlouho pohlcená okolní zástavbou, ale v době vzniku stála v místech, kde končily poslední domy na předměstí. Její historie sahá do roku 1770, kdy byla dvorským dekretem zřízena káznice pro celou Moravu. Základní kámen byl položen o dva roky později. V roce 1778 se sem ovšem místo trestanců nastěhovalo 147 sirotků z brněnské jezuitské koleje. V roce 1784 císař Josef II. sirotčinec zrušil, areál se vrátil k původně zamýšlené funkci a během následujících desetiletí sem byli přemístěni trestanci ze Špilberku. Nejtemnější období přišlo s obdobím protektorátu a poté po roce 1948, kdy zde bylo internováno, a také popraveno, velké množství politických vězňů.

V současné době probíhají snahy o oživení celého komplexu. TIC BRNO v něm pořádá tematické prohlídky a prostory bývají pronajímány k jednorázovým kulturním akcím, např. k výstavám, workshopům, divadelním představením, koncertům apod. Brněnská filmová kancelář bývalou káznici také nabízí jako zajímavou filmovou lokaci.",nah,https://ticbrno.cz/byvala-kaznice-na-cejlu ,Brno,Brno,49.19972776221978,16.62255744560347,Bratislavská,68,
BRNKULMI16,Cabaret des Péchés,,nah,https://www.cabaretdespeches.com/,Brno,Brno,49.194324777426466,16.60623520736711,Dominikánské náměstí,0/2,774497277
BRNKULMI17,Café Práh,Bezbariérový prostor,nah,https://www.cafeprah.cz,Brno,Brno,49.18726293757892,16.615623663901943,Ve Vaňkovce,1,+420 734 850 549
BRNKULMI18,Cinema City - OC Olympia,,nah,https://www.cinemacity.cz,Brno,Brno,49.1380953016487,16.633012103526042,U Dálnice,0/777,255742021
BRNKULMI19,Cinema City - OC Velký Špalíček,,ano,https://www.cinemacity.cz/velkyspalicek,Brno,Brno,49.19324298155929,16.606964731573353,Mečová,695/2,255742021
BRNKULMI20,Clubco,,nah,https://clubco.cz/,Brno,Brno,49.18958882769644,16.616682235733606,Dornych,40/27,702150276
BRNKULMI21,CO.LABS,,nah,http://www.colabs.cz/homepage/,Brno,Brno,49.20354540475171,16.600161685383174,Kounicova,685/20,+420 608 611 060
BRNKULMI22,COWO Brno,,nah,https://www.cowobrno.cz/,Brno,Brno,49.19725758629446,16.6077987544987,Moravské náměstí,629/4,603430282
BRNKULMI23,Červený kostel,,ne,https://www.brno1.evangnet.cz,Brno,Brno,49.19748694469187,16.60333187965608,Komenského náměstí,0/2,0
BRNKULMI24,Deja*Vu Oldies,,nah,https://www.dejavubrno.cz,Brno,Brno,49.193765088070464,16.59554711214351,Úvoz,491/26,605938535
